Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
Correct routes found : 68292
Airports found in routes : 39387
There are 2455 airports that are dead ends

     ###############################################################################
     ............... Page Rank --- Airport name (Airport code) .....................
     ###############################################################################
     
0.0004578796 --- Palermo, Italy (PMO)
0.0004573848 --- Changchun, China (CGQ)
0.0004560533 --- Chiang Mai Intl, Thailand (CNX)
0.0004556255 --- Beijing Nanyuan Airport, China (NAY)
0.000455256 --- Ilulissat, Greenland (JAV)
0.0004525816 --- Mwalimu Julius K Nyerere Intl, Tanzania (DAR)
0.0004506461 --- Knevichi, Russia (VVO)
0.0004499063 --- Billings Logan International Airport, United States (BIL)
0.0004496301 --- Kuching Intl, Malaysia (KCH)
0.0004493008 --- Linate, Italy (LIN)
0.0004482795 --- Gold Coast, Australia (OOL)
0.0004467613 --- Sofia, Bulgaria (SOF)
0.0004454018 --- Yinchuan, China (INC)
0.0004449925 --- Red Lake Airport, Canada (YRL)
0.0004449287 --- Eindhoven, Netherlands (EIN)
0.0004431551 --- Sentani, Indonesia (DJJ)
0.000442649 --- Male Intl, Maldives (MLE)
0.0004421937 --- Kirkwall, United Kingdom (KOI)
0.0004409433 --- Burgas, Bulgaria (BOJ)
0.0004398803 --- Zhuliany Intl, Ukraine (IEV)
0.0004366505 --- Dallas Love Fld, United States (DAL)
0.0004366346 --- Dalaman, Turkey (DLM)
0.0004355376 --- Shijiazhuang Daguocun International Airport, China (SJW)
0.0004353579 --- Esfahan Shahid Beheshti Intl, Iran (IFN)
0.0004345934 --- Vityazevo, Russia (AAQ)
0.000433461 --- Vilnius Intl, Lithuania (VNO)
0.0004313446 --- John Wayne Arpt Orange Co, United States (SNA)
0.0004306821 --- Lishe, China (NGB)
0.0004292617 --- Guam Intl, Guam (GUM)
0.0004277874 --- Los Cabos Intl, Mexico (SJD)
0.0004271929 --- Imam Khomeini, Iran (IKA)
0.0004267291 --- Borg El Arab Intl, Egypt (HBE)
0.0004266696 --- Kigali Intl, Rwanda (KGL)
0.0004258051 --- Frankfurt Hahn, Germany (HHN)
0.0004253774 --- Tille, France (BVA)
0.0004211275 --- Niederrhein, Germany (NRN)
0.0004201288 --- Hang Nadim, Indonesia (BTH)
0.0004183496 --- Myrtle Beach Intl, United States (MYR)
0.0004177135 --- Olaya Herrera, Colombia (EOH)
0.0004171825 --- Mount Isa, Australia (ISA)
0.0004160122 --- Sola, Norway (SVG)
0.0004155925 --- Kaohsiung Intl, Taiwan (KHH)
0.0004147003 --- Madeira, Portugal (FNC)
0.0004138899 --- Santa Genoveva, Brazil (GYN)
0.00041264 --- Entebbe Intl, Uganda (EBB)
0.0004122391 --- Pampulha Carlos Drummond De Andrade, Brazil (PLU)
0.0004117776 --- Ahwaz, Iran (AWZ)
0.000411122 --- Cadjehoun, Benin (COO)
0.0004109487 --- Las Americas Intl, Dominican Republic (SDQ)
0.0004069591 --- V C Bird Intl, Antigua and Barbuda (ANU)
0.0004048966 --- Balice, Poland (KRK)
0.000404741 --- Eros Airport, Namibia (ERS)
0.0004043246 --- Maputo, Mozambique (MPM)
0.0004022062 --- Harare Intl, Zimbabwe (HRE)
0.0004002611 --- Xining Caojiabu Airport, China (XNN)
0.0003991451 --- Ahmedabad, India (AMD)
0.00039905 --- Jersey, Jersey (JER)
0.0003987587 --- Unalakleet Airport, United States (UNK)
0.0003984017 --- Hercilio Luz, Brazil (FLN)
0.0003970548 --- Sondre Stromfjord, Greenland (SFJ)
0.0003963876 --- Wattay Intl, Laos (VTE)
0.0003937145 --- Governador Jorge Teixeira De Oliveira, Brazil (PVH)
0.0003934566 --- Jose Maria Cordova, Colombia (MDE)
0.0003931458 --- Laishan, China (YNT)
0.0003930149 --- Edward G Pitka Sr, United States (GAL)
0.0003927541 --- Irkutsk, Russia (IKT)
0.0003887073 --- Campo Dell Oro, France (AJA)
0.0003880068 --- Manas, Kyrgyzstan (FRU)
0.0003873278 --- Dyce, United Kingdom (ABZ)
0.0003867939 --- Pafos Intl, Cyprus (PFO)
0.0003859632 --- Zvartnots, Armenia (EVN)
0.0003857427 --- Ouagadougou, Burkina Faso (OUA)
0.0003853387 --- Ciampino, Italy (CIA)
0.0003852611 --- Bandar Abbass Intl, Iran (BND)
0.0003847238 --- Sevilla, Spain (SVQ)
0.000381752 --- Providenciales, Turks and Caicos Islands (PLS)
0.0003814288 --- Lijiang Airport, China (LJG)
0.0003807806 --- Bari, Italy (BRI)
0.0003791894 --- Sangster Intl, Jamaica (MBJ)
0.0003784162 --- Kodiak, United States (ADQ)
0.0003783933 --- Tokua Airport, Papua New Guinea (RAB)
0.000378277 --- Southampton, United Kingdom (SOU)
0.0003776993 --- Munda Airport, Solomon Islands (MUA)
0.0003766633 --- Narsarsuaq, Greenland (UAK)
0.0003762131 --- Prince Mohammad Bin Abdulaziz, Saudi Arabia (MED)
0.0003753443 --- Santarem, Brazil (STM)
0.0003748495 --- La Aurora, Guatemala (GUA)
0.0003747408 --- St Petersburg Clearwater Intl, United States (PIE)
0.0003736294 --- Sam Ratulangi, Indonesia (MDC)
0.0003725298 --- Mount Hagen, Papua New Guinea (HGU)
0.0003711247 --- Landvetter, Sweden (GOT)
0.0003700389 --- Waskaganish Airport, Canada (YKQ)
0.0003696369 --- Fort Yukon, United States (FYU)
0.0003695081 --- Lech Walesa, Poland (GDN)
0.0003691556 --- Jacksonville Intl, United States (JAX)
0.0003676548 --- Belfast Intl, United Kingdom (BFS)
0.0003672979 --- Temindung, Indonesia (SRI)
0.0003666674 --- Grantley Adams Intl, Barbados (BGI)
0.0003666294 --- Talagi, Russia (ARH)
0.0003643521 --- Durban Intl, South Africa (DUR)
0.0003640275 --- St Denis Gillot, Reunion (RUN)
0.000364006 --- Pattimura, Indonesia (AMQ)
0.0003628251 --- Wiley Post Will Rogers Mem, United States (BRW)
0.0003605376 --- Goiabeiras, Brazil (VIX)
0.0003605171 --- Es Senia, Algeria (ORN)
0.0003598408 --- Will Rogers World, United States (OKC)
0.000358876 --- Souda, Greece (CHQ)
