Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
Correct routes found : 68292
Airports found in routes : 39387
There are 2455 airports that are dead ends

     ###############################################################################
     ............... Page Rank --- Airport name (Airport code) .....................
     ###############################################################################
     
0.0002044789 --- Pattimura, Indonesia (AMQ)
0.0002044276 --- Nagasaki, Japan (NGS)
0.0002043319 --- Bristol, United Kingdom (BRS)
0.000204312 --- Vityazevo, Russia (AAQ)
0.0002037074 --- Goloson Intl, Honduras (LCE)
0.0002036439 --- Jijiga Airport, Ethiopia (JIJ)
0.0002035667 --- Hammerfest Airport, Norway (HFT)
0.0002035199 --- Ondjiva Pereira Airport, Angola (VPE)
0.0002034104 --- Douala, Cameroon (DLA)
0.0002033572 --- Ben Gurion, Israel (TLV)
0.0002033536 --- Ilulissat, Greenland (JAV)
0.0002029556 --- Zamboanga Intl, Philippines (ZAM)
0.0002027194 --- Southampton, United Kingdom (SOU)
0.0002026862 --- Nottingham East Midlands, United Kingdom (EMA)
0.0002026455 --- Tenerife Norte, Spain (TFN)
0.0002026312 --- Wiley Post Will Rogers Mem, United States (BRW)
0.0002025594 --- Waskaganish Airport, Canada (YKQ)
0.0002021611 --- Makedonia, Greece (SKG)
0.0002021201 --- Binhai, China (TSN)
0.0002020017 --- Hamburg, Germany (HAM)
0.0002015011 --- Jefman, Indonesia (SOQ)
0.0002014438 --- Blagnac, France (TLS)
0.0002013462 --- Tokua Airport, Papua New Guinea (RAB)
0.0002013455 --- Red Lake Airport, Canada (YRL)
0.0002012877 --- Fort Yukon, United States (FYU)
0.000201233 --- Rangiroa, French Polynesia (RGI)
0.0002011356 --- Mount Isa, Australia (ISA)
0.0002010806 --- Chubu Centrair Intl, Japan (NGO)
0.0002009827 --- Adnan Menderes, Turkey (ADB)
0.0002008263 --- Metropolitan Oakland Intl, United States (OAK)
0.0002007886 --- Dyce, United Kingdom (ABZ)
0.0002004022 --- Albany Intl, United States (ALB)
0.0002003867 --- Sondre Stromfjord, Greenland (SFJ)
0.0002000748 --- Frankfurt Hahn, Germany (HHN)
0.0002000571 --- Philip S W Goldson Intl, Belize (BZE)
0.0001999171 --- Sam Ratulangi, Indonesia (MDC)
0.0001998438 --- Caye Caulker Airport, Belize (CUK)
0.0001998147 --- Niederrhein, Germany (NRN)
0.0001996897 --- McGrath Airport, United States (MCG)
0.0001996432 --- Hato, Netherlands Antilles (CUR)
0.0001996377 --- Edward G Pitka Sr, United States (GAL)
0.0001992943 --- Eros Airport, Namibia (ERS)
0.000199016 --- Lanzhou Airport, China (LHW)
0.0001989996 --- Gurney Airport, Papua New Guinea (GUR)
0.0001989093 --- Es Senia, Algeria (ORN)
0.0001988676 --- Faro, Portugal (FAO)
0.0001985959 --- Boeing Fld King Co Intl, United States (BFI)
0.0001984205 --- Liverpool, United Kingdom (LPL)
0.0001983759 --- Maningrida Airport, Australia (MNG)
0.0001981223 --- Lanzarote, Spain (ACE)
0.0001979792 --- Syktyvkar, Russia (SCW)
0.0001979391 --- Governador Jorge Teixeira De Oliveira, Brazil (PVH)
0.0001977689 --- Santa Cruz, Bolivia (SRZ)
0.0001976449 --- Guam Intl, Guam (GUM)
0.000197426 --- Kigali Intl, Rwanda (KGL)
0.0001972678 --- Esfahan Shahid Beheshti Intl, Iran (IFN)
0.0001971618 --- Toncontin Intl, Honduras (TGU)
0.0001970184 --- Pierre Regional Airport, United States (PIR)
0.000196869 --- Pisa, Italy (PSA)
0.0001968406 --- Mount Hagen, Papua New Guinea (HGU)
0.0001965949 --- Narsarsuaq, Greenland (UAK)
0.0001964996 --- Penang Intl, Malaysia (PEN)
0.0001964375 --- Allama Iqbal Intl, Pakistan (LHE)
0.0001964189 --- Abidjan Felix Houphouet Boigny Intl, Cote d'Ivoire (ABJ)
0.0001963139 --- Santa Maria Airport, Brazil (RIA)
0.0001962171 --- Entebbe Intl, Uganda (EBB)
0.0001961655 --- Xining Caojiabu Airport, China (XNN)
0.0001960351 --- Split, Croatia (SPU)
0.0001960347 --- Wales Airport, United States (WAA)
0.0001955585 --- Visby, Sweden (VBY)
0.0001955148 --- Cochin, India (COK)
0.0001952365 --- Beograd, Serbia (BEG)
0.0001951472 --- Bandaranaike Intl Colombo, Sri Lanka (CMB)
0.0001949953 --- Del Caribe Intl Gen Santiago Marino, Venezuela (PMV)
0.0001949587 --- Benina, Libya (BEN)
0.0001948894 --- Sungshan, Taiwan (TSA)
0.0001947796 --- Tille, France (BVA)
0.0001947791 --- El Tari, Indonesia (KOE)
0.0001946752 --- Durban Intl, South Africa (DUR)
0.0001945067 --- Elmas, Italy (CAG)
0.0001942795 --- Viru Viru Intl, Bolivia (VVI)
0.0001942541 --- Heydar Aliyev, Azerbaijan (GYD)
0.0001942079 --- Novy, Russia (KHV)
0.0001940792 --- Newcastle, United Kingdom (NCL)
0.0001938711 --- Kuujjuarapik Airport, Canada (YGW)
0.0001934376 --- Cadjehoun, Benin (COO)
0.0001932964 --- Resolute Bay, Canada (YRB)
0.0001932536 --- Changle, China (FOC)
0.000193238 --- Ioannis Kapodistrias Intl, Greece (CFU)
0.0001928658 --- Campo Dell Oro, France (AJA)
0.0001928017 --- Piarco, Trinidad and Tobago (POS)
0.0001927995 --- Vanguardia, Colombia (VVC)
0.0001927937 --- General Manuel Carlos Piar, Venezuela (PZO)
0.0001927599 --- General Ignacio P Garcia Intl, Mexico (HMO)
0.0001926462 --- Tamanrasset, Algeria (TMR)
0.0001921989 --- Reina Beatrix Intl, Aruba (AUA)
