Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
Correct routes found : 68292
Airports found in routes : 39387
There are 2455 airports that are dead ends

     ###############################################################################
     ............... Page Rank --- Airport name (Airport code) .....................
     ###############################################################################
     
0.0002084834 --- Wewak Intl, Papua New Guinea (WWK)
0.0002083259 --- Norman Wells, Canada (YVQ)
0.0002082443 --- Wusu, China (TYN)
0.0002081383 --- Tefe, Brazil (TFF)
0.0002079724 --- Campo Grande, Brazil (CGR)
0.0002077426 --- Leeds Bradford, United Kingdom (LBA)
0.0002076641 --- Pinto Martins Intl, Brazil (FOR)
0.0002076333 --- Le Raizet, Guadeloupe (PTP)
0.0002075979 --- City Centre, Canada (YTZ)
0.000206934 --- Ouargla, Algeria (OGX)
0.0002068962 --- Nantes Atlantique, France (NTE)
0.0002067827 --- El Salvador Intl, El Salvador (SAL)
0.0002067723 --- Bandar Abbass Intl, Iran (BND)
0.0002062569 --- Qaqortoq Heliport, Greenland (JJU)
0.0002062397 --- Nadzab, Papua New Guinea (LAE)
0.0002061572 --- Attawapiskat Airport, Canada (YAT)
0.000206126 --- Williams Harbour Airport, Canada (YWM)
0.0002061179 --- Norsup Airport, Vanuatu (NUS)
0.0002061011 --- Eindhoven, Netherlands (EIN)
0.0002060767 --- Hamilton Airport, Australia (HLT)
0.0002060412 --- El Plumerillo, Argentina (MDZ)
0.0002060016 --- Bologna, Italy (BLQ)
0.0002058334 --- Ambouli International Airport, Djibouti (JIB)
0.0002057553 --- Charlotte County-Punta Gorda Airport, United States (PGD)
0.0002057233 --- Burgas, Bulgaria (BOJ)
0.0002056805 --- Makkovik Airport, Canada (YMN)
0.0002056031 --- Trapani Birgi, Italy (TPS)
0.0002055778 --- Hercilio Luz, Brazil (FLN)
0.0002055765 --- Roche Harbor Seaplane Base, United States (RCE)
0.0002055259 --- Sharjah Intl, United Arab Emirates (SHJ)
0.0002051996 --- Cunnamulla Airport, Australia (CMA)
0.0002051858 --- Gustavo Rojas Pinilla, Colombia (ADZ)
