Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
Correct routes found : 68292
Airports found in routes : 39387
There are 2455 airports that are dead ends

     ###############################################################################
     ............... Page Rank --- Airport name (Airport code) .....................
     ###############################################################################
     
0.0003408421 --- Ottawa Macdonald Cartier Intl, Canada (YOW)
0.0003398414 --- Olaya Herrera, Colombia (EOH)
0.0003360314 --- Chubu Centrair Intl, Japan (NGO)
0.0003359092 --- Quebec Jean Lesage Intl, Canada (YQB)
0.0003339546 --- Binhai, China (TSN)
0.0003334367 --- Vaernes, Norway (TRD)
0.0003321519 --- Bristol, United Kingdom (BRS)
0.0003310049 --- Lokpriya Gopinath Bordoloi International Airport, India (GAU)
0.0003302708 --- Unalaska, United States (DUT)
0.0003292933 --- Guararapes Gilberto Freyre Intl, Brazil (REC)
0.0003292204 --- Kuching Intl, Malaysia (KCH)
0.0003275846 --- Sir Seewoosagur Ramgoolam Intl, Mauritius (MRU)
0.0003272537 --- Townsville, Australia (TSV)
0.0003266721 --- Khrabrovo, Russia (KGD)
0.0003206114 --- Bromma, Sweden (BMA)
0.0003200175 --- Khomutovo, Russia (UUS)
0.0003195685 --- Bandaranaike Intl Colombo, Sri Lanka (CMB)
0.0003191939 --- Nottingham East Midlands, United Kingdom (EMA)
0.0003184275 --- Nuuk, Greenland (GOH)
0.0003182905 --- Metropolitan Oakland Intl, United States (OAK)
0.0003180237 --- Marudi, Malaysia (MUR)
0.0003176658 --- Makedonia, Greece (SKG)
0.0003173221 --- Mwalimu Julius K Nyerere Intl, Tanzania (DAR)
0.0003166292 --- Douala, Cameroon (DLA)
0.0003164139 --- Munda Airport, Solomon Islands (MUA)
0.0003151736 --- Maputo, Mozambique (MPM)
0.0003131491 --- Faro, Portugal (FAO)
0.000311492 --- Tallinn, Estonia (TLL)
0.0003101721 --- Male Intl, Maldives (MLE)
0.000309216 --- Blagnac, France (TLS)
0.0003086983 --- St Petersburg Clearwater Intl, United States (PIE)
0.0003065627 --- Albuquerque International Sunport, United States (ABQ)
0.0003065054 --- Grantley Adams Intl, Barbados (BGI)
0.0003062606 --- Jinan, China (TNA)
0.0003060532 --- Lanzarote, Spain (ACE)
0.0003053211 --- Ilulissat, Greenland (JAV)
0.0003044491 --- V C Bird Intl, Antigua and Barbuda (ANU)
0.0003035323 --- Providenciales, Turks and Caicos Islands (PLS)
0.0003031564 --- Tte Av Jorge Henrich Arauz, Bolivia (TDD)
0.000301615 --- Vityazevo, Russia (AAQ)
0.0003012815 --- Jersey, Jersey (JER)
0.0003012694 --- Hang Nadim, Indonesia (BTH)
0.0002996749 --- Red Lake Airport, Canada (YRL)
